Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~FC_v2.0.PrjPcb|ReportField=ProjectFullPath~D:\Projects\Flight_Controller\flight_controller_v2.0\FC_v2.0\FC_v2.0.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [FC_v2.0_Schematic.SchDoc]|ReportField=TotalQuantity~66|ReportField=ReportTime~9:58:30 PM|ReportField=ReportDate~2017-12-20|ReportField=ReportDateTime~2017-12-20 9:58:30 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017-12-20|ReportField=CurrentTime~9:25:13 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Projects\Flight_Controller\flight_controller_v2.0\FC_v2.0\FC_v2.0_Schematic.SchDoc|ReportField=DocumentName~FC_v2.0_Schematic.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017-12-13|ReportField=Organization~|ReportField=ProjectName~FC_v2.0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=Version~v2.0|ReportField=DataSourceFileName~FC_v2.0_Schematic.SchDoc|ReportField=DataSourceFullPath~D:\Projects\Flight_Controller\flight_controller_v2.0\FC_v2.0\FC_v2.0_Schematic.SchDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|18pF|Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R|C1|C0805|CL21C180JBANNNC|1
2|18pF|Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R|C2|C0805|CL21C180JBANNNC|1
3|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C3|C0805|CL21B104KOANNNC|1
4|10nF|CAP CER 10000PF 50V X7R 0805|C4|C0805|CC0805KRX7R9BB103|1
5|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C5|C0805|CL21B104KOANNNC|1
6|2.2uF|CAP CER 2.2UF 16V X5R 0805|C6|C0805|EMK212BJ225KG-T|1
7|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C7|C0805|CL21B104KOANNNC|1
8|10uF|Cap Ceramic 10uF 16V X5R 10% SMD 0805 85C T/R|C8|C0805|CL21A106KOQNNNE|1
9|10uF|Cap Ceramic 10uF 16V X5R 10% SMD 0805 85C T/R|C9|C0805|CL21A106KOQNNNE|1
10|10pF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 10pF C0G 20%|C10|C0805|C0805C100M4GACTU_1|1
11|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C11|C0805|CL21B104KOANNNC|1
12|10pF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 10pF C0G 20%|C12|C0805|C0805C100M4GACTU_1|1
13|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C13|C0805|CL21B104KOANNNC|1
14|10pF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 10pF C0G 20%|C14|C0805|C0805C100M4GACTU_1|1
15|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C15|C0805|CL21B104KOANNNC|1
16|10pF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 10pF C0G 20%|C16|C0805|C0805C100M4GACTU_1|1
17|0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R|C17|C0805|CL21B104KOANNNC|1
